0.0,1.185,0.200
0.2,1.242,0.200
0.4,1.432,0.202
0.6,1.361,0.204
0.8,1.554,0.206
1.0,1.550,0.210
1.2,1.641,0.214
1.4,1.647,0.220
1.6,1.701,0.226
1.8,1.811,0.232
2.0,1.976,0.240
2.2,1.868,0.248
2.4,2.078,0.258
2.6,2.148,0.268
2.8,2.261,0.278
3.0,2.253,0.290
3.2,2.284,0.302
3.4,2.440,0.316
3.6,2.616,0.330
3.8,2.636,0.344
4.0,2.677,0.360
4.2,2.757,0.376
4.4,2.776,0.394
4.6,2.965,0.412
4.8,3.065,0.430
5.0,3.197,0.450
5.2,3.207,0.470
5.4,3.198,0.492
5.6,3.220,0.514
5.8,3.448,0.536
6.0,3.557,0.560
6.2,3.586,0.584
6.4,3.849,0.610
6.6,3.780,0.636
6.8,3.983,0.662
7.0,4.234,0.690
7.2,4.011,0.718
7.4,4.055,0.748
7.6,4.233,0.778
7.8,4.671,0.808
8.0,4.414,0.840
8.2,4.827,0.872
8.4,4.595,0.906
8.6,5.108,0.940
8.8,4.941,0.974
9.0,5.397,1.010
9.2,4.887,1.046
9.4,5.546,1.084
9.6,5.169,1.122
9.8,5.591,1.160
10.0,5.894,1.200
